carrier_id,timestamp,hub_code,container_size,demand,external_supply,no_rail_inventory_end,no_rail_unmet,inventory_lb,source_release_capacity_cumulative
CARRIER_A,2026-08-12 16:00,YAKMOK,40FT,2,0,0,2,0,0
CARRIER_A,2026-08-13 15:00,YAKMOK,40FT,1,0,0,1,0,0
CARRIER_A,2026-08-14 10:00,YAKMOK,40FT,1,0,0,1,0,0
CARRIER_A,2026-08-14 18:00,YAKMOK,40FT,1,0,0,1,0,0
CARRIER_A,2026-08-14 19:00,YAKMOK,40FT,1,0,0,1,0,0
CARRIER_A,2026-08-15 13:00,YAKMOK,40FT,1,0,0,1,0,0
CARRIER_A,2026-08-15 15:00,YAKMOK,40FT,1,0,0,1,0,0
CARRIER_A,2026-08-16 07:00,YAKMOK,40FT,1,0,0,1,0,0
CARRIER_B,2026-08-13 10:00,BUGANG,20FT,2,0,0,1,0,0
CARRIER_B,2026-08-13 13:00,BUGANG,20FT,2,0,0,2,0,0
CARRIER_B,2026-08-13 14:00,BUGANG,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-13 16:00,BUGANG,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-14 06:00,BUGANG,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-14 15:00,BUGANG,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-14 17:00,BUGANG,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-16 11:00,BUGANG,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-16 19:00,BUGANG,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-16 13:00,BUGANG,40FT,1,0,0,1,0,0
CARRIER_B,2026-08-16 19:00,BUGANG,40FT,1,0,0,1,0,0
CARRIER_B,2026-08-11 13:00,BUSAN,20FT,2,0,0,1,0,0
CARRIER_B,2026-08-11 14:00,BUSAN,20FT,2,0,0,2,0,0
CARRIER_B,2026-08-11 15:00,BUSAN,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-11 16:00,BUSAN,20FT,2,1,0,1,0,0
CARRIER_B,2026-08-11 18:00,BUSAN,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-12 06:00,BUSAN,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-12 07:00,BUSAN,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-12 09:00,BUSAN,20FT,2,1,0,1,0,0
CARRIER_B,2026-08-12 11:00,BUSAN,20FT,2,1,0,1,0,0
CARRIER_B,2026-08-12 14:00,BUSAN,20FT,2,1,0,1,0,0
CARRIER_B,2026-08-12 17:00,BUSAN,20FT,2,1,0,1,0,0
CARRIER_B,2026-08-13 07:00,BUSAN,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-13 08:00,BUSAN,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-13 11:00,BUSAN,20FT,3,2,0,1,0,0
CARRIER_B,2026-08-13 12:00,BUSAN,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-16 10:00,BUSAN,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-15 05:00,DONGSAN,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-11 07:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-12 10:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-12 18:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-13 13:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-13 15:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_B,2026-08-14 10:00,GWANGYANG,20FT,1,0,0,1,0,0
CARRIER_C,2026-08-11 13:00,BUSAN,20FT,1,0,0,1,0,0
CARRIER_C,2026-08-12 14:00,BUSAN,20FT,1,0,0,1,0,0
CARRIER_C,2026-08-12 18:00,DONGSAN,20FT,1,0,0,1,0,0
CARRIER_C,2026-08-13 09:00,DONGSAN,20FT,1,0,0,1,0,0
CARRIER_C,2026-08-13 14:00,DONGSAN,20FT,1,0,0,1,0,0
CARRIER_C,2026-08-14 06:00,DONGSAN,20FT,1,0,0,1,0,0
CARRIER_C,2026-08-14 09:00,DONGSAN,20FT,1,0,0,1,0,0
CARRIER_C,2026-08-14 12:00,DONGSAN,20FT,1,0,0,1,0,0
CARRIER_C,2026-08-15 10:00,DONGSAN,20FT,1,0,0,1,0,0
