구간거리_km,운송거리_왕복_km,40FT_안전위탁운임_원,40FT_운수사업자간운임_원,40FT_안전운송운임_원,20FT_안전위탁운임_원,20FT_운수사업자간운임_원,20FT_안전운송운임_원
85,170,358800,382000,406500,318500,339000,360700
86,172,360900,384300,409000,320500,341100,362900
87,174,363000,386500,411400,322200,343000,364900
88,176,365000,388700,413700,324100,345000,367100
89,178,367300,391100,416300,325900,347000,369200
90,180,369500,393500,418800,327800,349000,371400
91,182,371700,395800,421400,329700,351000,373500
92,184,373700,398000,423700,331300,352700,375400
93,186,376000,400400,426300,333200,354800,377600
94,188,378100,402700,428700,335200,356900,379900
95,190,380100,404800,431000,336900,358800,381900
96,192,382400,407300,433700,338700,360700,383900
97,194,384500,409600,436100,340500,362600,386000
98,196,386600,411800,438500,342400,364700,388200
99,198,388700,414100,440900,344300,366700,390400
100,200,390900,416400,443400,346000,368500,392400
101,202,393000,418700,445900,347900,370500,394500
102,204,395100,420900,448300,349800,372600,396700
103,206,397200,423200,450700,351500,374400,398700
104,208,399500,425600,453300,353300,376400,400800
105,210,401500,427800,455600,355100,378300,402900
106,212,403400,429900,457900,357000,380300,405000
107,214,405600,432200,460400,358800,382300,407100
108,216,407700,434400,462800,360600,384200,409200
109,218,409700,436600,465100,362300,386000,411200
110,220,411900,438900,467600,364100,388000,413300
111,222,414100,441300,470200,366000,390000,415400
112,224,424200,451600,480600,374700,398900,424400
113,226,426300,453900,483000,376600,400900,426600
114,228,428400,456100,485400,378400,402800,428700
115,230,430500,458300,487800,380200,404800,430800
116,232,432600,460600,490300,382000,406700,432800
117,234,434700,462900,492700,383700,408500,434800
118,236,436800,465100,495100,385500,410500,436900
119,238,438800,467300,497400,387200,412300,438900
120,240,441000,469600,499900,389000,414300,441000
121,242,443100,471900,502400,390700,416100,442900
122,244,445000,473900,504600,392500,418000,445000
123,246,447100,476200,507000,394400,420000,447200
124,248,449400,478600,509600,396000,421800,449100
125,250,451400,480800,511900,397800,423700,451200
126,252,453500,483100,514400,399600,425600,453200
127,254,455500,485200,516700,401400,427600,455300
128,256,457500,487400,519000,403200,429500,457400
129,258,459600,489600,521400,404900,431400,459400
130,260,461500,491600,523600,406600,433200,461400
131,262,463800,494100,526300,408300,435000,463300
132,264,465800,496300,528600,410200,437000,465500
133,266,467900,498500,531000,411900,438900,467500
134,268,469900,500700,533300,413600,440700,469500
135,270,471900,502800,535600,415200,442500,471400
136,272,474100,505200,538200,417000,444400,473400
137,274,476100,507300,540500,418900,446400,475600
138,276,478100,509500,542800,420600,448300,477600
139,278,480200,511700,545200,422100,449900,479400
140,280,482300,514000,547600,424100,452000,481700
141,282,484300,516200,550000,425800,453800,483600
142,284,486400,518400,552400,427300,455500,485400
143,286,488600,520800,554900,429000,457300,487400
144,288,490600,522900,557200,430800,459300,489500
145,290,492600,525100,559500,432500,461100,491500
146,292,494600,527200,561900,434300,463000,493500
147,294,496700,529500,564300,435900,464800,495400
148,296,498700,531600,566600,437600,466600,497400
149,298,500600,533700,568800,439500,468600,499600
150,300,502700,535900,571200,441000,470300,501400
151,302,504800,538200,573700,442800,472200,503400
152,304,506800,540400,576000,444400,473900,505300
153,306,508700,542400,578200,446000,475700,507200
154,308,510900,544700,580700,447900,477700,509400
155,310,512900,546900,583000,449500,479500,511300
156,312,514800,549000,585300,451200,481300,513200
157,314,517000,551300,587800,452800,483000,515100
158,316,519100,553600,590200,454600,484900,517200
159,318,521000,555600,592400,456200,486700,519100
160,320,523000,557800,594700,457800,488400,521000
161,322,525300,560200,597400,459600,490300,523000
162,324,527100,562200,599500,461300,492200,525000
163,326,529100,564300,601800,462900,493900,526900
164,328,531000,566400,604000,464500,495600,528800
165,330,533300,568800,606600,466200,497500,530800
166,332,535200,570900,608900,467800,499200,532600
167,334,537200,573100,611200,469500,501000,534600
168,336,539100,575100,613400,471000,502700,536400
169,338,541100,577200,615700,472700,504500,538400
170,340,543300,579600,618200,474300,506300,540300
171,342,545100,581600,620400,476100,508200,542300
172,344,547300,583900,622900,477800,510000,544300
173,346,549300,586100,625200,479300,511600,546100
174,348,551100,588000,627300,481000,513500,548100
175,350,553100,590200,629600,482500,515100,549900
176,352,555200,592400,632100,484300,517000,551900
177,354,557200,594600,634400,486000,518900,553900
178,356,559200,596700,636700,487500,520500,555700
179,358,561300,599000,639100,489200,522400,557700
180,360,563400,601200,641500,490700,524000,559500
181,362,565300,603300,643800,492500,525900,561500
182,364,567200,605400,646000,494100,527600,563400
183,366,569100,607400,648200,495700,529400,565300
184,368,571200,609600,650600,497300,531100,567200
185,370,573100,611700,652800,499000,533000,569200
186,372,575200,614000,655300,500600,534700,571000
187,374,585300,624300,665700,509400,543600,580100
188,376,587200,626300,667900,511000,545400,582000
189,378,589200,628400,670200,512600,547100,583900
190,380,591000,630400,672300,514200,548900,585800
191,382,593200,632800,674900,515800,550600,587600
192,384,595100,634800,677100,517600,552500,589700
193,386,597100,637000,679400,519300,554300,591700
194,388,598900,638900,681500,521100,556300,593800
195,390,601100,641300,684000,522900,558200,595900
196,392,603000,643300,686300,524600,560000,597800
197,394,605000,645500,688600,526300,561900,599800
198,396,606800,647400,690700,528100,563800,601900
199,398,608900,649700,693100,529700,565600,603800
200,400,610800,651700,695300,531400,567400,605800
201,402,612800,653900,697700,533100,569200,607700
202,404,614800,656100,700000,534800,571000,609700
203,406,616700,658100,702200,536600,573000,611800
204,408,618700,660200,704500,538300,574800,613800
205,410,620700,662400,706800,539900,576600,615700
206,412,622800,664700,709300,541700,578500,617700
207,414,624700,666700,711500,543500,580400,619800
208,416,626500,668700,713600,545000,582100,621600
209,418,628500,670800,715900,546800,584000,623700
210,420,630600,673100,718300,548500,585800,625700
211,422,632400,675000,720500,550200,587600,627600
212,424,634300,677100,722700,552000,589600,629700
213,426,636200,679100,724900,553600,591300,631600
214,428,638200,681300,727200,555300,593200,633600
215,430,640000,683200,729300,556800,594800,635400
216,432,642000,685400,731700,558700,596800,637500
217,434,644100,687700,734100,560200,598500,639300
218,436,646000,689700,736300,562000,600400,641400
219,438,647800,691600,738400,563700,602200,643400
220,440,649800,693800,740700,565400,604100,645400
221,442,652000,696200,743300,567200,606000,647400
222,444,653800,698100,745400,568700,607600,649200
223,446,655600,700100,747500,570500,609600,651300
224,448,657600,702200,749800,572200,611400,653300
225,450,659600,704300,752100,573800,613200,655200
226,452,661600,706500,754500,575500,615000,657100
227,454,663400,708500,756600,577200,616800,659100
228,456,665300,710500,758800,578900,618600,661100
229,458,667400,712800,761200,580600,620500,663100
230,460,669400,714900,763500,582300,622300,665100
231,462,671200,716900,765700,583900,624000,666900
232,464,673100,718900,767900,585600,625900,668900
233,466,675100,721100,770200,587400,627800,671000
234,468,676900,723000,772300,589100,629600,673000
235,470,678800,725100,774500,590700,631400,674900
236,472,680700,727200,776800,592300,633100,676700
237,474,682600,729200,779000,593900,634800,678600
238,476,684600,731400,781300,595700,636800,680700
239,478,686600,733500,783600,597300,638500,682600
240,480,688300,735300,785600,598900,640300,684500
241,482,690300,737500,788000,600500,642000,686300
242,484,692300,739700,790300,602300,643900,688400
243,486,694100,741600,792400,603900,645600,690300
244,488,696200,743900,794800,605600,647500,692300
245,490,698000,745800,796900,607200,649200,694200
246,492,699900,747900,799200,609000,651100,696200
247,494,701900,750000,801500,610700,653000,698200
248,496,703700,752000,803600,612300,654700,700100
249,498,705600,754000,805800,613900,656500,702000
250,500,707500,756100,808000,621700,664400,710100
251,502,709300,758100,810200,623300,666100,711900
252,504,711400,760300,812600,624900,667900,713800
253,506,713400,762400,814900,626400,669500,715600
254,508,715200,764400,817000,628000,671300,717500
255,510,717000,766300,819100,629400,672800,719200
256,512,718900,768400,821400,630800,674300,720800
257,514,720700,770400,823500,632600,676200,722900
258,516,722700,772500,825800,634000,677800,724600
259,518,724400,774400,827800,635500,679400,726400
260,520,726500,776600,830200,637100,681200,728300
261,522,728300,778600,832400,638700,682900,730100
262,524,730200,780600,834600,640100,684400,731800
263,526,732000,782600,836700,641700,686100,733700
264,528,734100,784800,839100,643100,687700,735400
265,530,735900,786800,841200,644400,689100,737000
266,532,737700,788800,843400,646200,691000,739000
267,534,747800,799000,853800,654700,699700,747800
268,536,749600,801000,855900,656400,701500,749800
269,538,751400,802900,858000,657800,703100,751500
270,540,753400,805100,860300,659200,704600,753200
271,542,757900,809800,865200,685100,730700,779300
272,544,759700,811700,867300,686600,732400,781100
273,546,761200,813400,869100,688000,733900,782800
274,548,763000,815300,871200,689500,735600,784600
275,550,764600,817000,873100,691200,737400,786600
276,552,766400,819000,875300,692700,739000,788300
277,554,767900,820700,877100,694000,740400,789900
278,556,769700,822600,879200,695500,742100,791700
279,558,771400,824500,881200,696900,743600,793400
280,560,772900,826100,883000,698600,745500,795400
281,562,774500,827900,885000,700100,747100,797100
282,564,776000,829500,886800,701500,748600,798800
283,566,777800,831500,888900,703000,750200,800600
284,568,779600,833400,891000,704500,751900,802400
285,570,781400,835400,893100,706000,753500,804200
286,572,783100,837200,895200,707500,755100,805900
287,574,785300,839600,897700,709100,756900,807800
288,576,787000,841400,899700,710400,758300,809400
289,578,788800,843400,901800,711900,760000,811200
290,580,790800,845500,904100,713500,761700,813100
291,582,792600,847500,906300,715000,763300,814800
292,584,794600,849700,908600,716300,764700,816400
293,586,796200,851400,910500,717800,766400,818200
294,588,798100,853400,912700,719400,768100,820100
295,590,800100,855600,915000,720800,769700,821800
296,592,802000,857700,917300,722200,771200,823400
297,594,803700,859500,919300,723500,772600,825000
298,596,805800,861800,921700,725100,774300,826900
299,598,807500,863600,923700,726700,776100,828800
300,600,814800,871100,931300,733100,782600,835500
301,602,816600,873100,933500,734600,784200,837200
302,604,818400,875000,935600,736000,785800,838900
303,606,820100,876800,937600,737600,787500,840800
304,608,822000,878900,939800,739000,789100,842500
305,610,823800,880800,941900,740400,790600,844200
306,612,825800,883000,944300,741800,792100,845800
307,614,827500,884900,946300,743400,793800,847700
308,616,829400,886900,948500,744800,795400,849400
309,618,831400,889100,950800,746300,797000,851200
310,620,833200,891000,952900,747700,798600,852900
311,622,834900,892900,955000,749100,800100,854500
312,624,836700,894800,957100,750700,801800,856400
313,626,838700,897000,959400,752100,803400,858100
314,628,840500,898900,961500,753500,804900,859800
315,630,842200,900800,963500,755000,806500,861600
316,632,844100,902800,965800,756400,808000,863200
317,634,846100,905000,968100,758100,809900,865200
318,636,847800,906800,970100,759500,811400,866900
319,638,849600,908800,972200,760900,813000,868600
320,640,851300,910600,974200,762300,814500,870300
321,642,853400,912900,976700,763600,815900,871800
322,644,855100,914800,978700,765200,817600,873700
323,646,856900,916700,980800,766500,819100,875300
324,648,858600,918500,982800,767900,820600,877000
325,650,860800,920900,985300,769300,822200,878700
326,652,862400,922700,987300,770800,823800,880400
327,654,864100,924500,989300,772300,825400,882200
328,656,865900,926500,991400,773700,826900,883900
329,658,867800,928500,993600,775000,828400,885500
330,660,869600,930400,995700,776400,829900,887200
331,662,871400,932400,997900,778000,831600,889000
332,664,873300,934500,1000100,779500,833300,890800
333,666,875100,936400,1002200,780900,834800,892500
334,668,876900,938400,1004300,782300,836300,894200
335,670,878700,940300,1006400,783800,838000,896000
336,672,880700,942500,1008800,785100,839400,897500
337,674,882300,944200,1010700,786600,841000,899300
338,676,884200,946300,1012900,788000,842600,901000
339,678,885900,948100,1014900,789500,844200,902800
340,680,887900,950300,1017200,790900,845800,904500
341,682,889700,952300,1019400,792100,847100,905900
342,684,891400,954100,1021400,793800,848900,907900
343,686,893200,956000,1023500,795100,850300,909500
344,688,895100,958100,1025700,796500,851900,911200
345,690,896900,960000,1027800,797900,853400,912900
346,692,898600,961900,1029900,799300,854900,914500
347,694,900500,964000,1032100,800800,856600,916300
348,696,902300,965900,1034200,802300,858200,918100
349,698,904100,967900,1036300,803400,859400,919500
350,700,905900,969800,1038400,804900,861100,921300
351,702,915600,979700,1048500,813400,869700,930000
352,704,917600,981900,1050800,814900,871400,931800
353,706,919200,983600,1052700,816200,872800,933400
354,708,921100,985700,1054900,817600,874300,935100
355,710,922900,987600,1057000,819100,876000,936900
356,712,924800,989700,1059300,820500,877500,938500
357,714,926500,991500,1061300,821900,879000,940200
358,716,928300,993500,1063400,823300,880600,941900
